,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
66136,1610004100,1620000700,1610002000,1,103,000,6,제물량로,0,0,000,40,0,0,0,99.86968289704,,"LINESTRING (166428.2199999978 542483.3165999958, 166424.577099993 542479.7926000025, 166424.2839999945 542479.4973000003, 166423.9192999984 542479.1025999949, 166423.6305999982 542478.7497999968, 166416.522999995 542469.914599997, 166416.2600999986 542469.5827999939, 166415.7161000002 542468.8464999925, 166415.228099994 542468.0372999936, 166409.1424999982 542456.8760999939, 166408.7909999938 542456.1638999972, 166404.6413999955 542446.6362000003, 166404.3746999945 542445.9746999928, 166404.1188999945 542445.1688999954, 166403.9534999942 542444.4850999893, 166403.1013999965 542440.4561999987, 166395.9998999973 542406.8412999986, 166395.9493999931 542406.5779000024, 166393.3001999928 542391.9165999956)"
66137,1610004200,1610002000,1620000700,1,103,000,6,제물량로,0,0,000,40,0,0,0,84.900233538046,,"LINESTRING (166416.9169999967 542387.6511999923, 166419.5275999986 542402.1066999926, 166426.5821999982 542435.4964000008, 166427.1633 542438.2466999979, 166430.5240999974 542445.958099999, 166435.7214000008 542455.4890999971, 166441.8469999957 542463.106099994, 166444.9064999971 542466.0695999914)"
66138,1610010700,1610002000,1620000700,1,103,001,6,제물량로,0,0,000,40,0,0,0,88.99145524624,,"LINESTRING (166411.0010999963 542388.6446999989, 166414.9439999977 542409.0018999921, 166420.9765999986 542437.259399993, 166427.0090999969 542453.769399998, 166434.2712999962 542465.1600000021, 166440.7319999939 542470.3794000037)"
66139,1610010800,1620000700,1610002000,1,103,001,6,제물량로,0,0,000,40,0,0,0,95.350417766815,,"LINESTRING (166432.3916999997 542479.0041999967, 166424.9452999979 542470.1206999907, 166417.3252999921 542457.2619999956, 166410.0440999934 542436.397900005, 166403.5139999975 542409.0018999967, 166399.2186999981 542390.9225000012)"
66140,1610029700,1610009600,1610009500,1,104,000,-,인중로,0,0,000,60,0,0,0,126.076307537433,,"LINESTRING (166010.3147999936 541649.1369999918, 166014.4067999938 541639.7222000002, 166021.744099996 541626.0590999901, 166029.2286999963 541615.0298999974, 166040.3556999933 541600.2148999928, 166048.7339999982 541591.7572999944, 166061.9681999982 541579.1585999987, 166093.2491000007 541557.0405999995)"
66141,1610029800,1610009500,1610009600,1,104,000,-,인중로,0,0,000,60,0,0,0,112.977953576499,,"LINESTRING (166107.1033999991 541576.6360999962, 166077.2519999964 541597.7478000039, 166065.5346999995 541608.8989999953, 166058.5598999925 541615.9378999975, 166048.7641999952 541628.982699993, 166042.3008999978 541638.5085999995, 166036.0216999959 541650.203799998, 166032.3246999977 541658.7046999923)"
66143,1610029900,1610009700,1610009600,1,104,000,-,인중로,0,0,000,60,0,0,0,149.675179148972,,"LINESTRING (166015.2609999992 541796.5745999981, 166005.7583999943 541755.2177999987, 166000.3829000001 541723.6972999936, 165998.3376999938 541699.7130999947, 165998.4815999932 541694.8878999958, 165999.1208999976 541689.1123999924, 166003.4766999939 541669.0735000038, 166009.9603999993 541650.0483000011)"
66144,1610030000,1610009600,1610009700,1,104,000,-,인중로,0,0,000,60,0,0,0,136.363331054138,,"LINESTRING (166032.6791999925 541657.7932999912, 166026.6358999991 541675.5142999949, 166022.8381999955 541692.9906000006, 166022.4429999971 541696.5676999952, 166022.368099994 541699.0519999918, 166024.2100999953 541720.6535000014, 166029.3019999927 541750.5089999962, 166038.6518999931 541791.2000999931)"
66145,1610030100,1610009700,1610010300,1,104,000,-,인중로,0,0,000,60,0,0,0,61.32631460316,,"LINESTRING (166038.7559999973 541791.7136999927, 166049.8654999966 541852.0465000006)"
66146,1610030200,1610010300,1610009700,1,104,000,-,인중로,0,0,000,60,0,0,0,61.326352376314,,"LINESTRING (166026.2638999969 541856.3904999956, 166015.154199994 541796.0576999937)"
66147,1610031900,1610010300,1610011500,1,104,000,-,인중로,0,0,000,60,0,0,0,294.657793611709,,"LINESTRING (166049.8654999966 541852.0465000006, 166090.3730999967 542072.0214999981, 166096.5335999953 542105.4811999912, 166101.6455999977 542142.1889999923)"
66148,1610032000,1610011500,1610010300,1,104,000,-,인중로,0,0,000,60,0,0,0,293.609807176976,,"LINESTRING (166077.8756999958 542145.4983999897, 166072.8366999996 542109.3104999979, 166066.7689999943 542076.3687999974, 166026.2638999964 541856.3903999999)"
66149,1610035300,1610011500,1620004100,1,104,000,-,북성포길,0,0,000,60,0,0,0,657.429656445124,,"LINESTRING (166101.5366999951 542141.5308999898, 166145.3069999955 542364.3711999985, 166172.0814999942 542468.4514999982, 166198.9692999935 542572.9815000027, 166219.2560999982 542643.152199994, 166234.7202999954 542673.2514999964, 166236.9313999938 542676.3988999975, 166259.8543999949 542709.0267000006, 166300.7968999965 542758.9269999942)"
