,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
2899,1610099800,101,운서동2820-1,0,,POINT (154216.3322999995 543879.2421999921)
2900,1610099900,102,운서동2820-1,0,,POINT (154210.1169999982 543955.111699995)
2901,1610100000,102,운서동2820-1,0,,POINT (154180.1411999979 543931.2310999971)
2902,1610100100,101,운서동2820-1,0,,POINT (154186.3664999986 543857.2110999959)
2903,1610100200,102,운서동2820-1,0,,POINT (154145.7489999982 543908.2997000009)
2904,1610100300,102,운서동2758-4,0,,POINT (154282.5861999984 543866.8558999973)
2905,1610100400,101,운서동2820-2,0,,POINT (154260.9555999931 543752.2966999935)
2906,1610100500,101,운서동2820-2,0,,POINT (154292.0218999991 543773.3971999999)
2907,1610100600,101,운서동2820-1,0,,POINT (154380.6416999985 543808.0548999985)
2908,1610100700,101,운서동2820-1,0,,POINT (154311.7505999961 543944.3809999992)
2909,1610100800,101,운서동2820-1,0,,POINT (154321.8048999975 543963.7470999943)
2910,1610100900,101,운서동2820-1,0,,POINT (154358.4373999991 543992.215899993)
2911,1610101000,101,운서동2820-1,0,,POINT (154397.1890999943 544004.0264999943)
2912,1610101100,102,운서동2820-1,0,,POINT (154284.4928999979 544012.9671999923)
2913,1610101200,102,운서동2820-1,0,,POINT (154328.832099997 544035.8446999973)
2914,1610101300,102,운서동2820-1,0,,POINT (154365.4033999968 544053.2159999938)
2915,1610101400,101,운서동2820-1,0,,POINT (154427.0325999937 544003.8631999991)
2916,1610101500,102,공원사거리,0,,POINT (154401.9190000007 544060.4146999985)
2917,1610101600,101,운서동2820-1,0,,POINT (154425.7047999941 543963.178399995)
2918,1610101700,101,운서동2820-1,0,,POINT (154424.3415999924 543916.0198999954)
2919,1610101800,102,운서동2820-1,0,,POINT (154369.262699999 543950.5396999966)
2920,1610101900,102,운서동2820-1,0,,POINT (154390.0359999974 543908.8089999961)
2921,1610102000,101,운서동2820-2,0,,POINT (154338.0856999985 543909.0933999917)
2922,1610102100,101,운서동2820-1,0,,POINT (154381.9798999947 543850.5893999905)
2923,1610102200,101,운서동2820-2,0,,POINT (154368.8120999935 543868.2329999985)
2924,1610102300,102,운서동2820-2,0,,POINT (154310.3310000006 543887.0497999947)
2925,1610102400,101,운서동2820-2,0,,POINT (154336.630799993 543845.2887000006)
2926,1610102500,102,운서동2820-2,0,,POINT (154315.5432999954 543829.6822999915)
2927,1610102600,102,운서동2820-2,0,,POINT (154347.5929999944 543828.5818999889)
7708,1610044000,102,숲쟁이로2,0,,POINT (157456.5565999972 542994.4505999974)
7709,1610044100,101,큰말로1,0,,POINT (157500.8413999972 541438.9906999986)
7710,1610044200,104,두빛나래지하차도,0,,POINT (157516.4677999997 542216.017399995)
7711,1610044300,101,운남동1770-3,0,,POINT (157520.718199998 542253.748099999)
7712,1610044400,101,운남동1788,0,,POINT (157563.5807999973 542697.0582999972)
7713,1610044500,101,운남동1770-3,0,,POINT (157627.5108999989 542041.452599999)
7714,1610044600,101,운남동1770-3,0,,POINT (157674.3412999963 541931.5273999985)
7715,1610044700,101,운남동1770-3,1,,POINT (157714.2352999965 541837.883800005)
7716,1610044800,101,운남동1773,0,,POINT (157732.7821999932 542392.3899999891)
7717,1610044900,101,운남동1768,1,,POINT (157737.9746999958 541782.1603999923)
7718,1610045000,101,운남동1796,0,,POINT (157781.4788999924 542118.8102999992)
7719,1610045100,101,운남동1797,0,,POINT (157829.7654000008 541999.7475999941)
7720,1610045200,101,운남동1788,0,,POINT (157868.7782999947 542817.7086000012)
7721,1610045300,101,운남동1773,1,,POINT (157968.2617999992 542490.1536999944)
7722,1610045400,102,숲쟁이로1,0,,POINT (158018.612099997 542963.8249999962)
7723,1610045500,101,운남동1796,0,,POINT (158083.765899993 542231.2583999913)
7724,1610045600,101,운남동1788,0,,POINT (158100.7653999997 542858.4544999975)
7725,1610045700,101,운남동1797,0,,POINT (158122.1305999985 542107.565499997)
7726,1610045800,101,운남동1774,0,,POINT (158160.8788999991 542549.4204999929)
7727,1610045900,104,두빛나래지하차도,0,,POINT (158190.2305999985 542531.4013000031)
7728,1610046000,101,찬들로3,0,,POINT (158241.8547999927 542267.6386999921)
7729,1610046100,101,운남동1795,0,,POINT (158277.3089999919 542155.9181999887)
7730,1610046200,101,운남동1795,1,,POINT (158304.6933999961 542060.6018000003)
7731,1610046300,102,운남동1640-1,0,,POINT (158305.1809999937 541784.0259999924)
7732,1610046400,101,운남동1768,1,,POINT (158325.3508000006 542000.4420999924)
7733,1610046500,101,운남동1646-8,1,,POINT (158354.8320999965 541905.8864000046)
7734,1610046600,104,지하차도,0,,POINT (158452.9623999964 542613.1576999929)
7735,1610046700,103,속성변화점,0,,POINT (158610.1571999941 543407.5554000018)
7736,1610054900,101,중산동1983,0,,POINT (161763.2721999953 544325.5879999979)
7737,1610055000,101,뮤엠영어가람점,1,,POINT (161784.3539999957 542831.4387999999)
7738,1610055100,101,중산동1981-3,0,,POINT (161789.8892999963 544613.7330999995)
7739,1610055200,101,중산동1983,1,,POINT (161873.2331999987 544398.6263999976)
7740,1610055300,101,중산동2002,1,,POINT (161931.1980999935 543005.4027000029)
7741,1610055400,101,중산동1984-2,0,,POINT (162042.9372999974 544095.1619000018)
7742,1610055500,101,중산동1983,0,,POINT (162122.0015999962 544493.9560000011)
7743,1610055600,103,속성변화점,0,,POINT (162137.1820999978 544208.3773999993)
7744,1610055700,101,중산동1984-3,1,,POINT (162154.393299997 543999.9779000002)
